FID;Sítio;Tipo;Município;X;Y;CNSA;Referênci
54;N/d5;Guarani;Imbituba;728889;6876368; ;GRUPEP (s/d)
55;N/d7;Guarani;Laguna;717612;6856439; ;GRUPEP (s/d)
56;Nova Brasília - COPAGRO;Guarani;Imbituba;725493;6877980; ;GRUPEP (s/d)
57;Nova Brasília I;Guarani;Imbituba;725552;6877723; ;GRUPEP (s/d)
58;Oficina lítica Cabeçuda;Oficina lítica;Laguna;712500;6852154; ;"Farias & DeBlasis (2014); Scheel-Ybert et al (2020)"
59;Oficina Lítica da Vigia I;Oficina Litica;Garopaba;734947;6898340;SC01514;Farias (2013)
60;Oficina Lítica da Vigia II;Oficina Litica;Garopaba;735159;6898571;SC01515;Farias 2013
61;Passagem do Rio D'Una I / IMA 007;Sambaqui;Imbituba;721820;6877326;SC00045 e SC00452;"Piazza (1966); Farias & Kneip (2010)"
62;Passagem do Rio D'Una II / IMA 008;Sambaqui;Imbituba;721799;6877421;SC00453;"Rohr (1969; 1984); Farias & Kneip (2010)"
63;Passagem do Rio D'Una III;Sambaqui;Imbituba;722627;6877436;SC00467;"Silva (1999); Farias & Kneip (2010)"
64;Passeio Jerônimo Coelho / IMI 005;Sambaqui;Imaruí;0;0;SC00433;Farias & Kneip (2010)
65;Pedra Chata (Bananal);Sambaqui tardio;Laguna;711044;6852155; ;"Farias & DeBlasis (2014); Kneip & Mello (2018)"
66;Peixaria / SC-LGN-23;Sambaqui;Laguna;719334;6859518; ;"Rohr (1969; 1984); Farias & Kneip (2010)"
67;Ponta da Guaiúba;Sambaqui;Imbituba;724126;6868756;SC00048;"Rohr (1969; 1984); Silva (1999)"
68;Ponta da Vila;Sambaqui;Imbituba;0;0; ;"Piazza (1966); Farias & Kneip (2010)"
69;Ponta das Laranjeiras I;Sambaqui;Pescaria Brava;711494;6853553; ;"Rohr (1969; 1984); Assunção (2010); Farias & Kneip (2010)"
70;Ponta das Laranjeiras II;Sambaqui tardio;Pescaria Brava;711893;6854240; ;"Assunção (2010); Kneip & Mello (2018)"
71;Ponta das Laranjeiras III / SC-LGN-24;Sambaqui;Pescaria Brava;709320;6853725; ;Assunção (2010)
72;Ponta do Perixil / Ponta do Perrechil I / SC-LGN-25 / Ponta do Perrechil II / SC-LGN-26;Sambaqui;Laguna;715465;6861055; ;"Piazza (1966); Farias & Kneip (2010); Sapienza (2014b)"
73;Ponta Rasa / IMA 0001;Sambaqui;Imbituba;721652;6865397;SC00446;"Piazza (1966); Silva (1999)"
74;Porteira / SC-LGN-27;Sambaqui;Laguna;0;0;SC00708;"Piazza (1966); Farias & Kneip (2010)"
75;Porto da Vila I / IMA 005 / Imbituba 10 (Rohr) / Vila Nova I (Fróes de Abreu);Sambaqui;Imbituba;724925;6871191;SC00450;Farias & Kneip (2010)
76;Porto da Vila II;Sambaqui;Imbituba;725619;6869934; ;"Farias & Kneip (2010); Farias (2012a)"
77;Porto do Ouriques / IMA 006 / Sambaqui do Rio D' Una V;Sambaqui;Imbituba;0;0;SC00451;"Rohr (1969; 1984); Farias & Kneip (2010)"
78;Praia da Casa Grande;Sambaqui;Imaruí;713248;6863184; ;Amaral (2002)
79;Praia da Ferrugem;Guarani;Garopaba;733476;6892099; ;Silva et al (1999)
80;Praia da Vila;Oficina lítica;Imbituba;730429;6874317; ;Silva et al (1999)
81;Praia do Rosa I;Guarani;Imbituba;731547;6886553; ;Farias & Kneip (2010)
82;Praia do Rosa II;Oficina lítica;Imbituba;731882;6885136; ;Farias & Kneip (2010)
83;Praia do Rosa III;Guarani;Imbituba;731960;6887053; ;Silva et al (1999)
84;Ribeirão do Cangueri I / IMI 007;Sambaqui;Imaruí;0;0;SC00435;"Rohr (1969; 1984); Farias & Kneip (2010)"
85;Ribeirão do Cangueri II / IMI 008;Sambaqui;Imaruí;0;0;SC00436;"Rohr (1969; 1984); Farias & Kneip (2010)"
86;Roça Grande I / IMA 016;Sambaqui;Imbituba;0;0;SC00461;"Rohr (1969; 1984); Farias & Kneip (2010); Farias (2012a)"
87;Roça Grande II / IMA 017;Sambaqui;Laguna;722138;6862623;SC00462;"Rohr (1984); Silva (1999); DeMasi (2017)"
88;Roça Grande III / IMA 021;Sambaqui;Imbituba;722365;6864407;SC00466;Farias (2012a)
89;Roçado;Sambaqui;Laguna;0;0;SC00711;"Rohr (1969; 1984); Farias & Kneip (2010)"
90;Samambaia I / IMI 001 / Santo Tomás;Sambaqui;Imaruí;707856;6865263;SC00043 e SC00429;"Piazza (1966); Farias & Kneip (2010)"
91;Samambaia II / IMI 003;Sambaqui;Imaruí;707359;6864863;SC00431;"Piazza (1966); Farias & Kneip (2010)"
92;Sambaqui de Araçatuba;Sambaqui;Imbituba;0;0;SC01148;"Rohr (1969; 1984); Farias & Kneip (2010)"
93;Sambaqui do Aniversário;Sambaqui;Imbituba;726550;6887384; ;Farias (2012a)
94;Sambaqui Vila Nova;Sambaqui;Imbituba;725250;6871764; ;Farias (2012a)
95;SC-DUN-001;Sambaqui;Garopaba;732330;6888600; ;Pestana & Ribeiro (2016)
