sitio;categoria;municipio;x;y;cnsa;referencia
Itaguaçu;Sambaqui;Imaruí;;;SC00442;Farias e Kneip 2010
Itapirubá I;Sambaqui;Imbituba;723733;6864038;SC00049 e SC00459;"Piazza 1966b; Farias e Kneip 2010"
Itapirubá II;Sambaqui/Guarani;Imbituba;723520;6864015;SC00050 e SC00460;"Piazza 1966b; Farias e Kneip 2010"
KM 295;Guarani;Imbituba;722920;6865345;;Farias e Kneip 2010
KM 308;Guarani;Laguna;716307;6855519;;De Masi 2017
Lagoa de Ibiraquera I;Guarani;Imbituba;727070;6886925;;Banco GRUPEP
Laudelino;Sambaqui;Imbituba;;;SC00447;Farias e Kneip 2010
Mirim I;Sambaqui;Imbituba;725476;6874946;SC00046 e SC00457;"Piazza 1966b; Farias e Kneip 2010; Farias, Guimarães, e Demathé 2012"
Mirim II;Sambaqui;Imbituba;;;SC00047 e SC00458;Farias e Kneip 2010
N/d1;Sem informação;Imaruí;718968;6867318;;Banco GRUPEP
N/d2;Sambaqui;Imaruí;708553;6866992;;Banco GRUPEP
N/d3;Sambaqui;Imaruí;719079;6867155;;Banco GRUPEP
N/d4;Sem informação;Imbituba;723276;6876072;;Banco GRUPEP
N/d5;Guarani;Imbituba;728889;6876368;;Banco GRUPEP
N/d7;Guarani;Laguna;717612;6856439;;Banco GRUPEP
Nova Brasilia - COPAGRO;Guarani;Imbituba;725493;6877980;;Banco GRUPEP
Nova Brasilia I;Guarani;Imbituba;725552;6877723;;Banco GRUPEP
Oficina Lítica da Vigia I;Oficina Litica;Garopaba;734947;6898340;SC01514;Farias 2013
Oficina Lítica da Vigia II;Oficina Litica;Garopaba;735159;6898571;SC01515;Farias 2013
Passagem do Rio D'Una I;Sambaqui;Imbituba;721820;6877326;SC00045 e SC00452;"Piazza 1966b; Farias e Kneip 2010"
Passagem do Rio D'Una II;Sambaqui;Imbituba;721799;6877421;SC00453;"Rohr 1969; 1984; Farias e Kneip 2010"
Passagem do Rio D'Una III;Sambaqui;Imbituba;722627;6877436;SC00467;"Silva et al. 1999; Farias e Kneip 2010"
Passeio Jerônimo Coelho;Sambaqui;Imaruí;;;SC00433;Farias e Kneip 2010
Pedra Chata (Bananal);Sambaqui tardio;Laguna;711044;6852155;;"DeBlasis,Farias, e Kneip 2014; Kneip e Mello 2018"
Peixaria;Sambaqui;Laguna;719334;6859518;;"Rohr 1969; 1984; Farias e Kneip 2010"
Ponta da Guaiúba;Sambaqui;Imbituba;724126;6868756;SC00048;"Rohr 1969; 1984; Silva et al. 1999"
Ponta da Vila;Sambaqui;Imbituba;;;;Farias e Kneip 2010
Ponta das Laranjeiras I;Sambaqui;Pescaria Brava;711494;6853553;;"Rohr 1969; 1984; Assunção 2010; Farias e Kneip 2010"
Ponta das Laranjeiras II;Sambaqui tardio;Pescaria Brava;711893;6854240;;"Assunção 2010; Kneip e Mello 2018"
Ponta das Laranjeiras III;Sem informação;Pescaria Brava;709320;6853725;;Assunção 2010
Ponta do Perrechil I;Sambaqui;Laguna;715481;6861077;SC00025/SC00724/SC01665;Piazza 1966b
Ponta do Perrechil II;Sambaqui;Laguna;715554;6861051;SC00026/SC00725;"Piazza 1966b; Farias e Kneip 2010"
Ponta Rasa;Sambaqui;Imbituba;721652;6865397;SC00446;"Piazza 1966b; Silva et al. 1999"
Porto da Vila;Sambaqui;Imbituba;724925;6871191;SC00450;Farias e Kneip 2010
Porto da Vila II;Sambaqui;Imbituba;725619;6869934;;"Farias e Kneip 2010; Farias 2012"
Porto do Ouriques;Sambaqui;Imbituba;;;SC00451;Farias e Kneip 2010
Praia do Rosa I;Guarani;Imbituba;731547;6886553;;Farias e Kneip 2010
Praia do Rosa II;Oficina lítica;Imbituba;731882;6885136;;Farias e Kneip 2010
Ribeirão do Cangueri I;Sambaqui;Imaruí;;;SC00435;Farias e Kneip 2010
Ribeirão do Cangueri II;Sambaqui;Imaruí;;;SC00436;Farias e Kneip 2010
Roça Grande I;Sambaqui;Imbituba;;;SC00461;Farias e Kneip 2010
Roça Grande II;Sambaqui;Imbituba;722138;6862623;SC00462;"Rohr 1984; Silva et al. 1999"
Roça Grande III;Sambaqui;Imbituba;722365;6864407;SC00466;Farias 2012
Samambaia I;Sambaqui;Imaruí;707856;6865263;SC00043 e SC00429;"Piazza 1966b; Farias e Kneip 2010"
Samambaia II;Sambaqui;Imaruí;707359;6864863;SC00431;"Piazza 1966b; Farias e Kneip 2010"
Sambaqui de Araçatuba;Sambaqui;Imbituba;;;SC01148;Farias e Kneip 2010
Sambaqui do Aniversário;Sambaqui;Imbituba;726550;6887384;;Farias 2012
Sambaqui Vila Nova;Sambaqui;Imbituba;725250;6871764;;Farias 2012
SC-DUN-001;Sambaqui;Garopaba;732330;6888600;;Pestana e Ribeiro 2016
SC-DUN-002;Oficina Litica;Garopaba;732335;6889180;;Pestana e Ribeiro 2016
SC-GRP-06 Sítio Ambrósio;Guarani;Garopaba;731626;6897960;;Farias 2010
SC-IMB-01;Guarani;Imbituba;723694;6880834;SC01511;Farias, Guimarães, e Demathé 2016
SC-IMB-033 Estrondo;Guarani;Imbituba;723694;6880833;;Farias, Guimarães, e Demathé 2016
SC-IMB-034;Guarani;Imbituba;725776;6881590;;Banco GRUPEP
SC-LGN-050;Guarani;Laguna;714751;6852908;SC01443;Farias e DeBlasis 2014
SC-NB-01;Guarani;Imbituba;725515;6877650;;Farias 2012
SC-NB-04;Sambaqui;Imbituba;725549;6877772;;Farias 2012
SC-NB-06 Fazenda Imbituba;Guarani;Imbituba;724460;6880540;SC01487;Farias, Guimarães, e Demathé 2012
Siqueiro;Sambaqui;Imaruí;;;SC00430;Farias e Kneip 2010
Sítio Guarani 02;Guarani;Imbituba;725625;6877841;;Farias 2012
Sítio Guarani 03;Guarani;Imbituba;725660;6878520;;Farias 2012
Tamborete I;Sambaqui;Imaruí;;;SC00443;Farias e Kneip 2010
Tamborete II;Sambaqui;Imaruí;;;SC00444;Farias e Kneip 2010
